,Ruta,Nombres
0,1,1                        Universidades - Portal Eldorado                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
1,1,1                        Portal Eldorado - Universidades                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
2,2,2                        Museo Nacional -  Portal 20 de Julio                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
3,2,2                         Portal 20 de Julio - Museo Nacional                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
4,3,3                        Corferias - Portal Tunal                    L-S            | 04:00 AM            - 11:00 PM D-F            | 04:00 AM            - 10:00 PM
5,3,3                        Portal Tunal - Corferias                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
6,4,4                        Portal Sur - JFK Coop.Financiera - Héroes                     L-S            | 04:00 AM            - 11:00 PM D-F            | 04:00 AM            - 10:00 PM
7,4,4                        Héroes - Portal Sur - JFK Coop.Financiera                    L-S            | 04:00 AM            - 11:00 PM D-F            | 04:00 AM            - 10:00 PM
8,5,5                         Portal Américas - Calle 22                    L-S            | 04:00 AM            - 11:00 PM D-F            | 04:00 AM            - 10:00 PM
9,5,5                        Calle 22 - Portal Américas                    L-S            | 04:00 AM            - 11:00 PM D-F            | 04:00 AM            - 10:00 PM
10,6,6                        Portal de la 80 - Universidades                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
11,6,6                         Universidades - CityU - Portal de la 80                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
12,7,7                        Portal Suba - Polo - FINCOMERCIO                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
13,7,7                        Polo - FINCOMERCIO - Portal Suba                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
14,8,8                        Terminal - Guatoque Veraguas                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
15,8,8                        Guatoque Veraguas - Terminal                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
16,20,20 d Julio                        20 de Julio - Maluma                    S            | 10:50 PM            - 12:00 AM
17,A52,A52                        Portal Sur - JFK Coop.Financiera - Flores - Área Andina                    L-V            | 05:00 AM            - 08:30 AM
